,text,sentiment
1681,the acquisition of upc polska by the owner of play would not lead to a sharp price struggle which could hit the result of orange polska or cyfrowy polsat assess analyst some expert believe that customer competition would increase especially in large city brokerage office at the same time point to a high price propose for upc polska,2
1683,cyfrowy polsat announce a force redemption from minority shareholder of all netia share for pln per share the intermediary in the purchase of trigon dm inform,2
1684,on monday the tax law in polish order will be present the deputy minister of fund and regional policy waldemar buda say in polsat news,2
1686,in the current shape the medium act not only threaten the medium and freedom of speech s pluralism but also worsen the investment climate around poland say deputy prime minister jarosaw gowin on saturday in polsat news,1
1687,the level of vaccinate in a give region will be take into account when the decision about lock plant say in polsat news the health minister adam niedzielski,2
1688,wig gain percent on tuesday end the session at point the index of the large company record the third in a row the upward session but it continue to remain in the side trend the remain main wse index record a similar scale on tuesday at the high level in history they end the session of lpp and cyfrowy polsat,3
1690,polsat plus and cellex telecom finalize the transaction as a result of which celnex telecom,3
1692,polsat plus and cellex telecom finalize the transaction regard polkomtel infrastructure as a result celnex telecom take over the control packet of share in polkomtel infrastructure in,3
1693,cyfrowy polsat and polkomtel which be part of the polsat plus group sell percent package on july share of polkomtel infrastructure to cellex poland cyfrowy polsat say in a press release,1
1694,cyfrowy polsat buy a total of netia share which constitute nearly percent the total number of vote at the company s general meeting purchase take place as part of an invitation to sign up for the sale of netia share and previous call inform cyfrowy polsat,3
1695,if parliamentary election be hold this sunday for the united right percent respondent for the civic coalition and percent to poland respondent accord to the ibris survey for event polsat news,2
1696,cyfrowy polsat buy a total of netia share increase commitment to the company to approx percent netia say in a message,3
1697,netia s shareholder in response to the invitation of cyfrowy polsat submit sale offer share of the company say cyfrowy polsat in a communiqu cite initial information provide by trigon dm which mediate in the transaction,2
1698,cyfrowy polsat increase the pool of fund allocate to the purchase of netia share to pln million the purchase price of one share be not to be high than pln cyfrowy polsat say in a message therefore the new invitation include all share in stock market trade,3
1699,cyfrowy polsat increase the number of netia share to pln million which shareholder can sell as part of the invitation announce a week ago intermediacke in the trigon dm transaction the invitation currently include all action not belong to the cp group,2
1700,cyfrowy polsat increase the pool of fund allocate to the purchase of netia share to pln million the purchase price of one share be to be not high than pln cyfrowy polsat say in a press release,2
1702,cyfrowy polsat announce an invitation to submit sale offer up to nearly pln million for pln per share accord to seweryn masalski an investment director in mm prime tfi the call for pln seem to be a high price but it do not cover all share only percent this may be the reason for the failure of the entire operation,2
1703,shareholder of the cyfrowy polsat group vote for the division of profit for they accept the board s proposal this mean that by the end of the year zygmunt solorz will get pln million,2
1704,the general meeting of cyfrowy polsat decide that the company in two tranche would pay a record dividend in its history pln million pln per share the new member of the company s supervisory board be its majority shareholder zygmunt solorz its former president tobias solorz lawyer jarosaw grzesiak and rector of the university of warsaw alojzy nowak,3
1705,the general meeting of cyfrowy polsat decide to pay a total of pln million of dividend i e pln per share accord to resolution of wz the dividend will be pay in two tranche,3
1706,cyfrowy polsat plan to focus no more than million net share netia constitute up to of its share capital the propose purchase price of share be pln start,2
1707,cyfrowy polsat invite you to submit sale offer netia share constitute percent the company s capital pln per item each intermediary trigon dm in the announcement,2
1710,polkomtel a plus network operator from the cyfrowy polsat group have over million people within the g network polkomtel say in a press release,3
1711,the national broadcasting council punish television broadcaster for a total amount of thousand zloty the authority state that the wiadomoci tvp take place to the surreptitimate television polsat tvn and tvp be punish but not only who else and what be the institution for,1
1712,the pomeranian commune of kpice will spend pln million on the removal of a dangerous plant polsat news say the fight against sosnowski s borscht have be take place in pomerania for year,2
1714,polsat group create by zygmunt solorz will change the logotype and name the famous sun will disappear after almost year of presence at home,2
1715,the closing of sale transaction by cyfrowy polsat and polkomtel polkomtel infrastructure cellnek be expect in july cyfrowy polsat say in a press release,2
1716,the polkomtel company belong to the cps cyflplsat group the plus network operator conclude with pm mobile holding limit and wbn hold limited list of intent regard the term,2
1718,the management board of cps cyflplsat recommend the payment of dividend from profit for in the amount of pln per share this mean that all last year s profit in the amount of million be send to the shareholder,3
1720,cp cyflplsat have publish an invitation to submit net share netia the invitation apply to million share i e of the company s capital propose price of purchase of share in,2
1721,as many as new company join the aviv investors tfi portfolio in the first three month of however the wallet do not grow significantly because the list almost leave,2
1724,the cps cyflplsat group efficiently adapt its activity to the new condition in the pandemic launch the first g plus network in poland at a frequency of mhz tdd which,3
1725,the cps cyflplsat group decide to sell to celnex telecom of the polkomtel control package infrastructure for a price of approximately pln billion the expect closing of the transaction be,2
1729,the cps cyflplsat group despite the ongoing epidemic state end the third quarter with result exceed the expectation of market analyst among the most important event be,3
1730,plus it will expand the g network in all current and former provincial city and town locate near they in total within the g plus network mhz tdd will be above,3
1731,at first glance in the third quarter the axa tfi portfolio be dominate by the supply page the manager decide to sell share of up to company which be more than in the record breaking in this respect,1
1732,game photovoltal biotechnology none of these thing the manager of the allianz tfi focus on other horse in the third quarter once again slip out of the scheme among the strong,2
1733,the cps cyflplsat group despite the epidemic state introduce in the country in spring end the second quarter with stable result in accordance with the expectation of the market efficiently adapt the activity,3
1735,the polsat group start with a photovoltaic offer photovoltaic installation will be offer under the new esoleo brand by alledo from the polsat group which have many year of experience on,2
1737,the cps cyflplsat management board recommend the payment of dividend from profit for in the amount of pln per share this mean that all last year s profit in the amount of million be send to the shareholder,3
1738,bcast a polish alternative radio operator gain a new shareholder who become cp cyflplsat the new partner will bring rich technological facility and extensive know how,2
1739,cp cyflplsat despite the epidemic state introduce in the country begin very well efficiently adapt the operating activity of company to the prevail epidemiological situation,2
1740,polsat television have conclude a preliminary contract for the purchase of the interia group with the bauer medium group this be a strategic decision for the development of the polsat group which will contribute to she,3
1741,what would not say about the current situation on the warsaw stock exchange it certainly can not be describe as bore a lot of repair be happen just like in the tfi wallet,2
1742,the overarching goal of cp cyflplsat in the current situation be concern for the health and safety of client contractor and employee we be also aware that maintain continuity,2
1743,be another period of very good operational and financial result for cp cyflplsat the most important event include implementation of the concept,3
1744,plus continue work relate to the construction of a g network the g infrastructure have already be instal at over base station intensive work be also underway relate to device test,3
1745,last year belong to small company in term of return rate swig close with the high result among all the main index of the warsaw stock exchange or similar,2
1746,over pln million so much be the penalty impose by the president of uokik to polkomtel consumer who have internet access buy additionally they have to pay for watch the content,1
1748,polkomtel a plus network operator from the cps cyflplsat group begin the construction of the first commercial g commercial network in poland at mhz tdd in the first quarter of customer with at least,3
1750,the cps cyflplsat group end the third quarter from pln billion in revenue an ebitda profit of over pln billion and an ebitda margin the operational result in both segment grow and,3
1752,cp cyflplsat and discovery have sign a joint venture agreement regard the creation of a common ott platform available on the polish market and on international market the new website will provide viewer,2
1754,the cyfrowy polsat group end the second quarter of very good and stable operational result in both segment achieve strong financial result and once again record a record low,3
1755,the management board of cyfrowy polsat announce the decision to pay a flat rate tax on interest or discount on cp bond cyflplsat and tax relate to debt security,2
1756,three new product reduction of commitment sale of all share of two company and enlargement of position in the case of value this be how the change make in aviva wallet,2
1757,the stock exchange support program for analytical coverage have just start and already as part of it recommendation for several potentially very profitable investment be publish however in june not,2
1758,inflation in poland close to the inflation target record increase on play orange and cyfrowy polsat action real interest rate in poland negative strong increase in the wig sector,3
1759,polkomtel unlawfully charge fee that go beyond the subscription amount for nine automatically activate service e g time hand or display service network operator,1
1760,the management of cyfrowy polsat propose to allocate a total of pln to pay a dividend of which pln be to come from last year s profit and the remain,3
1761,the cyfrowy polsat group start very well it record about thousand more multiplay customer and over additional contract service year on year and the indicator leave,3
1762,end for the cyfrowy polsat group with very good financial and operational result the cps cyflplsat group achieve the assume goal and strengthen its position on the market,3
1763,management of cyfrowy polsat s a adopt a resolution on the adoption of dividend policy assume the annual submission of a dividend payment proposal to the general meeting with a recommendation,3
1764,zygmunt solorz as the majority shareholder of cp cyflplsat control of the total number of vote propose a change in the company s dividend policy as propose,2
1765,cyfrowy polsat after initial analysis of one off transaction within the group announce the need to increase the value of deferred income tax liability in,1
1766,the current president of cps cyflplsat tobias solorz resign from the function of the president of the management board of the company on with the new president appoint by the supervisory board at the beginning,1
1768,cyfrowy polsat be not currently interested in subsequent acquisition he focus primarily on net netia and result from the word of member of the board of cps cyflplsat all the time,1
1769,cp cyflplsat record pln million of consolidated net profit attribute to the shareholder of the parent accord to mssf in q against pln million of profit accord to ias year,1
1770,the management board of cps cyflplsat adopt a resolution on adopt preliminary action relate to the potential refinancing of the company s debt for issue million unsecured,1
1771,the cp cyflplsat offer will increase on october this year the company say for another thematic channel polsat game the late proposal of telewizja polsat polsat games be,3
1772,the management of cyfrowy polsat decide to purchase million netia share from karswell for the price of sale in the amount of pln million i e pln for one share the company say,3
1773,cp cyflplsat expect correct free cash flow not high than pln billion in say a member of the management board of financial affairs katarzyna ostap tomanen ebitda,3
1774,cp cyflplsat maintain the expectation of an average one digit rate of tv advertising this year say board member maciej stec we maintain that we set up an average,2
1775,cp cyflplsat will launch three television channel in the first half of the fourth quarter smartdom polsat games polsat family say board member maciej stec all three,3
1776,cp cyflplsat record pln million of consolidated net profit attribute to the shareholder of the dominant unit in q against pln million profit a year early the company say,1
1777,the head of the maopolska custom and tax office in krakow after reconsideration of the case uphold the early decision determine the amount of digital tax liability,1
1778,cp cyflplsat shareholder decide not to pay a dividend for the company say the ordinary general meeting of the company divide the company s net profit for the financial year in,1
1779,netia telecommunication service will be available on the sale sale network of polsat and plus from june say cp cyflplsat as part of the pilot this will be possible in point,2
1780,the cps cyflplsat management recommends not pay a dividend from profit for the financial year the company say at the same time he maintain the current dividend policy bearing in mind,1
1781,polsat television a subsidiary of cp cyflplsat conclude with eleven sport network ltd with its register office in london a sale agreement share of eleven sport network with headquarter in,1
1782,cyfrowy polsat and karswell limit in the call for netia acquire a total of share of the company say the intermediary trigon dom maklerski the transaction price be pln for,2
1783,cp cyflplsat and karswell limited decide to acquire net netia share as part of the call despite the failure to determine one condition it be give in a statement purchase entity,3
1784,the office of competition and consumer protection uokik issue unconditional permission to take over net netia by cp cyflplsat be give in a communiqu the callor receive the president s decision,3
1785,cyfrowy polsat maintain the expectation of the average one digit growth of the tv advertising market in say a member of the board of the group maciej stec growth of the tv advertising market in the first quarter,2
1786,cp cyflplsat hope that it will launch the polsat games e sport channel in the third quarter say a member of the board of the group maciej stec we hope that in the third quarter we will be able to start,3
1787,cyfrowy polsat record pln million of consolidated net profit attribute to the shareholder of the dominant unit accord to mssf in the first quarter of a year early it have be report pln million,3
1788,cyfrowy polsat intend to lodge a complaint to the provincial administrative court wsa in a case uphold by the director of the tax administration chamber the decision of the head of mazowieckie,1
1789,cp cyflplsat decide to extend until may include the period of accept entry for the sale of net share netia in the call announce on december he give digital,2
1790,cp cyflplsat expect ebitda in at a level similar to the previous year say a member of the management board of financial affairs katarzyna ostap tomanen it will be good like,2
1791,cp cyflplsat among the expectation for the current year among other maintain the growth rate of service gru and a high level of generate free fcf cash flow say the president,3
1792,this year the cps cyflplsat investment expenditure be to reach this year s value of max of revenue without the net consolidation effect netia the company be give value of fund,2
1793,cp cyflplsat expect the eu roam like at home regulation to translate negatively to the growth rate of arpu customer revenue in the first two quarter of,1
1794,cp cyflplsat record pln million of consolidated net profit attribute to the shareholder of the parent in q against pln million of profit a year early the company say,1
1795,the maopolska customs and tax office in krakow determine the amount of cp cyflplsat tax liability due to unpaid flat rate corporate income tax in,1
1796,cp cyflplsat have analyze change in the provision regard corporate income tax applicable from january which show the need to increase,1
1797,cp cyflplsat have conclude a second amending agreement with unicredit bank ag london branch to the loan agreement among other extend repayment until september,3
1798,cp cyflplsat announce a change regard the completion date of the net share netia shift the deadline to april the company inform originally the entry be to end,2
1799,the office of competition and consumer protection uokik send to the second stage the proceeding regard the takeover by cp cyflplsat control over net netia inform the office application,2
1800,the net board netia believe that the price of share in cp cyflplsat be set at pln per item be within the price correspond to the company s fair value it be state in,2
1801,cp cyflplsat announce a call to sign up for the sale of net share netia constitute of the share capital and of the total number of vote at the general public,2
1802,cp cyflplsat expect in connection with the investment to acquire the net netia synergy share package include income cost and in the capex area in with a total,3
1803,cp cyflplsat have place a total of a package of approximately of net netia share from two significant shareholder the mint of poland and fip of the investment fund,2
1804,as a result of a contract conclude with the zpr group grupa medium acquire share in company with eska tv channel eska tv extra eska rock tv polo tv and vox music tv and share,3
1805,liberty poland belong to the cps cyflplsat group submit to the office of competition and consumer protection uokik an application regard the takeover of control over coltex st the office say application,2
1806,cp cyflplsat plan to maintain the adopt last year dividend policy which provide for the payment of amount to shareholder while meet the condition for the level of net debt,3
1807,cp cyflplsat record pln million of consolidated net profit assign to the shareholder of the dominant unit in q against pln million profit a year early the company say,1
1808,polkomtel the plus network operator maintain the exist roaming rule in the european union after the decision of the office of electronic communication uke enable the use of additional,2
1809,cp cyflplsat expect to reduce the neto ebitda debt indicator to a long term purpose at x until the plan refinancing say a member of the management board of financial affair,3
1810,cp cyflplsat expect in the third quarter low than in previous quarter of free cash flow fcf due to increase investment outlay and payment,1
1811,cp cyflplsat shareholder decide to allocate pln million from profit for for dividend which mean a payment of pln per share the company say,3
1812,last month the warsaw stock index drop by which be the bad result this year low price however be a well opportunity to shop and accord to analyst prospect,1
1813,cp cyflplsat strive to maximize income from the contract client say a member of the management board for financial affair of the group katarzyna ostap tomanen accord to assumption,3
1814,the cps cyflplsat group maintain the expectation of low one digit tv advertising market this year say board member maciej stec we maintain our expectation of low,1
1815,cp cyflplsat will be satisfied with maintain the ebitda result of last year purify from the impact of euro say a member of the management board of financial affairs katarzyna,2
1816,cp cyflplsat record pln million of consolidated net profit attribute to the shareholder of the dominant unit in the first quarter of against pln million of profit a year early the company say in,3
1817,ltenite limit a subsidiary of cp cyflplsat decide on early redemption of unsecured zerokupon bond with a total nominal value of pln billion say,2
1818,the management board of cps cyflplsat adopt a resolution regard the submission to the evaluation of the supervisory board of an application assume a payment of pln million of dividend from profit for i e pln per share,3
1819,cp cyflplsat assume a single digit growth of the tv advertising market this year and expect that it will grow at least accord to the market say board member maciej stec,1
1820,cp cyflplsat assume the release of by far the large part of the plan investment expenditure in the segment of service for individual and company client include especially for development,2
1821,in the come week cp cyflplsat will decide whether to pay a dividend a member of the management board of financial affairs katarzyna ostap tomanen inform in the come week,2
1822,cp cyflplsat be aim at maintain viewership share this year and an increase in advertising revenue at least in accordance with the growth dynamic of the television advertising market,3
1823,cp cyflplsat record pln million of consolidated net profit assign to the shareholder of the dominant unit in q against pln million in profit a year early the company say,3
1824,cp cyflplsat recognize the proposal of legislative change regard the collection of a subscription as inconsistent with the principle of constitutional equality of citizen before the law and the disclosure of protect datum,1
1825,cp cyflplsat recognize the act of defer tax on transaction eliminate in the consolidation process which have a positive impact on the consolidated net financial result,2
1826,the office of competition and consumer protection uokik state that cp cyflplsat and polkomtel advertising campaign regard the smartdom and power lte offer be mislead and impose penalty on,1
1827,cp cyflplsat shareholder decide on a cross border merger by take over with the subsidiary metel hold company limit by transfer all asset and,2
1828,the cyfrowy polsat group have over of the population within the internet lte plus advanced which mean that over million pole can already use this late technology internet lte plus,3
1829,the european bank of reconstruction and development ebor sell of cp cyflplsat share in the process of accelerated construction of the book of demand reduce its share by half the institution say,1
1830,for the next month regardless of the select investment market dm bo analyst recommend the selection of market neutral company they do the same not only significantly,2
1831,perhaps some do not think about next year but they be fast approach accord to dm bo analyst november be a good time for the first forecast for and,2
1832,ibm provide polsat tv with a complete solution for send ibm aspera video file the concern say it provide fast and safe transfer of large file and effective,3
1833,polkomtel from the cps cyflplsat group enable registration of prepaid card in the plus network via bank transaction system registration and verification of customer datum on the basis of,3
1834,cp cyflplsat expect positive trend in the come quarter say president tobia solorz aim at further debt relief the third quarter be,3
1835,cp cyflplsat want to maintain a level of approx thousand point within the sale network say president tobia solorz we currently have point and we want to maintain more or less on,2
1836,cp cyflplsat maintain that it aim at reach the upper limit of the range of pln billion for free cash flow at the end of the year say a member of the board of ds,3
1837,cp cyflplsat assume the payment of dividend in the amount of pln to million if the net value of the net to ebitda be low than x but high than x dividend in the range from,3
1839,cp cyflplsat could record in q from pln million to pln million of consolidated net profit at a consensus of pln million of profit against pln million of net profit,1
1842,cp cyflplsat shareholder decide to allocate in full pln million of net profit for for spare capital which mean not pay dividend result from the resolution of the general,1
1843,the shareholder of mds midas decide to restore the company s action to the form of a document and withdraw from trading on the regulated market keep by the wse the company say extraordinary general,2
1844,cp cyflplsat recommends not pay a dividend from profit for and allocation in full of pln million in spare capital the company say bear in mind relatively,1
1845,midas join the loan agreement senior facility agreement and to the relate agreement between creditor intercreditor agreement as an additional borrower additional,2
1846,the most likely scenario on the pay television market in poland be a further decline in the market both in quantitative and valuable term by about forecast pmr number,1
1847,polkomtel which have indirectly and directly share of mds midas constituting of the share capital and vote announce a force purchase of other share from,2
1848,cyfrowy polsat maintain the plan to obtain another smartdom client this year up to a total of million customer say president tobia solorz we maintain the plan,3
1849,cyfrowy polsat aim to generate pln billion of free cash flow fcf this year which give potential to return to regular dividend payment he inform,3
1850,cyfrowy polsat record pln million of consolidated net profit total in q against pln million a year early the company say in the report this be a result in accordance with,3
1851,cyfrowy polsat could record in the first quarter of from pln million of consolidated net loss to pln million of consolidated net profit at a consensus at the level of pln million of profit against,1
1852,polkomtel a company indirectly dependent on cyfrowy polsat intend to announce a force purchase of share to achieve a share in the mds capital mida and withdraw share from the stock market,2
1853,in the call of polkomtel a company indirectly dependent on cyfrowy polsat entry be submit to midas share for share constitute of the total number,2
1855,cyfrowy polsat after take over midas assume a return to dividend payment from while systematic reduce the net debt level of the group ultimately,1
1856,cyfrowy polsat assume after take over midas investment outlay up to pln billion in three year for the development of the network while maintain the capex indicator revenue below,3
1857,the increase in the entire television and sponsorship advertising market will be shape this year at a medium digit rate due to growth last year accord to the forecast of cyfrowy polsat,2
1858,polkomtel a company indirectly dependent on cyfrowy polsat purchase share in ltenite limit from ortholuck which be the direct owner of share of the company,3
1859,polsat digital record pln million of consolidated net profit in q against pln million a year early the company say in the report operational profit amount to pln million,3
1860,the closing of the week bring the weakening of quotation on the domestic market the number of inheritance company clearly prevail in the index portfolio good behavior of fuel company reinforce with pge and dinopl increase only absorb inheritance of other company with the banking sector at the forefront on the min fw chart the course break out of the local slightly erect channel,1
1861,the wig relative force indicator to wig after a week from the turn of may and june maintain the side trend in which it have be leave for about four week the lotos pge and dino share stand out from wig and santander bank polska begin to behave slightly well from the banking sector,2
1862,the crew block enter the store shelf this have not be do so far by any other polish character from the cartoon spejson wal and wojta have their own energy drink,3
1863,thursday quotation on the wse take place in mixed mood wig at turnover of pln million gain and stop at point on this day entity such as jsw kghm and dino belong to the strong polish blue chip,2
1864,lidl biedronka and dino must have their location and parking and today it be not so easy to find they if the net assume the strategy of take over exist store it may be a large network in a few year than biedronka say tomasz respect the owner of the retailpoland consulting consulting company,2
1866,analyst of dm mbank in the report of may raise the recommendation of dino polska to buy from reduj and the target price of one share up to pln from pln,3
1868,dino buy elevate,3
1871,avia solar the brand responsible for the solar segment in the unimot group will implement the design of the photovoltaic installation in the central magazine of the dino grocery store network unimot say in a press release the kwp installation will supply the facility from the beginning of,2
1873,what revenue achieve in the first quarter such network as biedronka dino or intermarch who have open the most store and who spend the most on investment we present financial report after the first three month of,2
1874,we sum up the first quarter of what revenue achieve such network as biedronka dino or intermarch at that time who have open the most store and who spend the most on investment,2
1877,at percent food inflation can not be avoid in our price policy we be bay to discount store therefore no further increase in the price of food product can not be rule out say micha krauze board member and financial director of dino,1
1878,dino polska maintain the purpose of maintain the ebitda margin this year say micha krauze board member and financial director of dino,2
1879,dino polska maintain the purpose of maintain the ebitda margin this year undertake initiative to reduce cost say micha krauze board member and financial director of dino,2
1880,in the first quarter of this year dino polska achieve an increase in revenue by percent up to pln billion and net profit from pln to million in term of like for life revenue increase by percent at the end of march the company have store more than a quarter early,3
1881,dnp dinopl in the first quarter of the grow number of customer visit and open new supermarket result in a high increase in turnover in the first quarter of the dino grocery store,3
1882,the net profit of the dino polska group amount to pln million in the first quarter of against pln million a year early the company say in a quarterly report pap biznes consensus assume pln million net profit,3
1886,below be the result of dino polska in the first quarter of and their reference to the pap consensus bizne and to previous result,2
1887,dinos be the fast grow proximity supermarket retail chain in poland as regard both the number of open store and the revenue growth dynamic,3
1890,easter be ahead of we on april and most store will be close how will aldi stokrotka carrefour intermarch chorten netto abka stokrotka and kaufland be open during holy week will some of they extend the opening hour before christmas,2
1891,dino polska s a she open new store from january to the end of march a year early,3
1892,dnp dinopl open from january to the end of march new store compare to year early at the end of march the network have store compare to a year early,3
1894,dino polska open new store in the first quarter of to a year early the company inform on its website,3
1895,the last week bring clear decline of bank among domestic blue chip improve mood in the mining and fuel industry for which rs generate interesting signal of the company operate in retail trade dino record another strong week,3
1896,thursday on the domestic market bring moderate increase wig and wig gain mwig increase and swig national blue chip record the great increase in the last hour of trade the most powerful value be asseco after the report for q lpp and dino,3
1897,meet with the dnp board dinopl regard the result generate in the fourth quarter and all of during the meeting the company s representative also discuss the further expansion of the network plan,2
1898,this year the dino group plan to increase investment outlay to pln billion from pln billion in the company say in the report dino want to maintain high revenue growth dynamic this year and lfl growth like in previous year,3
1899,dino polska assume a two digit increase in lfl sale this year and a similar gross margin on sale say micha krauze board member and financial director of dino the company maintain that in the medium and long time the goal be to improve the ebitda margin,3
1900,dino polska assume a two digit increase in lfl sale this year say micha krauze board member and financial director of dino,3
1901,dino assume that the gross margin on sale will remain in at a similar level of rdr say micha krauze board member and financial director of dino,2
1902,dino polska assume that the cost will grow at a pace similar to revenue say micha krauze board member and financial director of dino,2
1903,accord to the adopt strategy in the dnp dinopl grocery store dinopl continue geographical development open new supermarket throughout the country as a result finally,3
1906,the net profit of the dino polska group amount to pln million in the fourth quarter of accord to pap s calculation base on the company s annual report pap biznes consensus assume pln million net profit,1
1909,below be the result of dino polska in the fourth quarter of accord to the calculation of pap bizne and their reference to the consensus of pap bizne and to previous result,2
1912,the management board of dino polska announce that on february micha muskaa resign from the function of a member of the board with effect at the time of its submission,2
1914,a total of job will be create as a result of new investment make by the large grocery store in poland additional employee will be employ by aldi lidl biedronka and dino,3
1915,dino polska announce in a statement that it would build a new distribution center in kaliska in the kuyavian pomeranian voivodeship estimate investment outlay will amount to about pln million net,3
1916,dino polska will build a new distribution center in kaliska in the kuyavian pomeranian voivodeship the company say in a communiqu the estimate investment outlay will amount to about pln million net and will be finance from the company s own fund and bank loan,3
1917,trade at wig confirm the lack of investor slight decline do not prevent you from finish the week positive,3
1921,we will pay for basic fmcg product in supermarket from pln to pln similar purchase in discount store cost pln in january competitor almost do not differ from each other in most supermarket the same product have recently be more expensive bread oil flour large increase from competitor be introduce by a dino network in which from november purchase have increase by pln and from january by pln,1
1923,the most important index of the warsaw stock exchange maintain the achievement of previous session with grow foreign market she do not help dino weakness but mining company with the support of the financial industry they maintain yesterday s result,1
1926,grupa kty and dino polska will compete in the final of the wse champion voting will last until sunday,3
1927,on the battlefield for the title of wse champion remain only four company dino polska will compete on the way to the final jsw and kruk with a group of kty,3
1928,dino plan to build another distribution center this time in the lubie kujawski commune the property for the investment cost over pln million,3
1929,high inflation of food price should support the comparable sale of company from the food sector this year the challenge for the industry will be cost pressure include supplier but the ebitda margin biedronka and dino polska should be stable assess analyst eurocash can improve the result,3
1931,dino already have store the commercial network open new branch in poland in this be the good year for a retailer in history but plan for be even more ambitious,3
1932,mp joanna jakowiak ask the minister of development and technology about government support for two large retail chain eurocash and abka polska,2
1933,dino have store the commercial network open in new store against supermarket a year early,3
1934,dnp dinopl open new store in to supermarket a year early at the end of the network have store the sale area of dino store be,3
1935,dino polska open new store in to a year early the company say on its website,3
1936,pandemic cause castle on the warsaw stock exchange in this difficult time billionaire come to we there be already over of they and the total asset be already pln billion the king of the polish dance floor be tomasz biernacki the creator of the dino network inform pul biznesu,3
1937,pandemic cause change and castle on the warsaw stock exchange and interestingly billionaire come to we in this difficult time write pul biznesu there be already over of they and the total asset be already pln billion tomasz biernacki the creator of the dino network be the evident king of the polish dance floor he do not let himself be dethrone and he take the peak position for the second year in a row,3
1938,dino polska have conclude three loan agreement for a total amount of pln million,2
1939,the dino polska group conclude with pko bp bank three investment loan agreement for a total amount of pln million the company say in a statement agreement be sign to finance the further development of the chain of store run by the company under the dino brand and logistic facility,3
1940,two item disappear from the short sale register of the pfsa on share of bit studio and dino polska the polish financial supervision authority say,3
1941,the dino chain of store expand its cooperation with dpd polska all branch belong to the polish network have become postal facility and will be open on non commercial sunday,3
1942,acquisition of maspex organizational change and in the bakalland shareholding and extensive dino investment this be the most important information from food and commercial company in november,3
1943,most of the retail chain keep up with change relate to digitization but not dino which apart from pay by card practically do not propose solution rightly,1
1944,dino in addition to card payment practically do not offer digital solution to its client rightly,1
1945,in a digitize world we pay virtual money and buy in virtual store most retail chain keep up with change but not dino which apart from pay by card practically do not offer digital solution to its client rightly,1
1947,the increase in lfl sale in the third quarter of be percent after an increase of percent in the second quarter of this year,3
1948,in dino polska plan to increase investment outlay compare to approx pln billion plan for this year the company want to increase the number of store open as well as increase the power of the agro rydzyna meat plant,3
1950,even percent they lose the dino group s action on friday the owner of the polish market of supermarket discover card and at first glance it seem that the situation look good it be boast that this year have already open new store sale be reach pln billion and profit be grow by over percent per year,1
1951,the net profit of the dino polska group amount to pln million in the third quarter of against pln million a year early the company say in a quarterly report at the end of september it have supermarket more than a year ago solar panel be instal at,3
1952,in the first three quarter of dnp dinopl consistently increase the size of its retail chain by open new store i e more than in the same period,3
1953,the net profit of the dino polska group amount to pln million in the third quarter of against pln million a year early the company say in a quarterly report pap consensus bizne assume pln million net profit,3
1955,below be the result of dino polska in the third quarter of and their reference to the pap biznes consensus and to previous result,2
1956,dino supermarket throughout poland be open from monday to saturday from to and on sunday from to she give the network,2
1957,progress increase in food price change in the agricultural ministry exciting cooperation between mcdonald s with a controversial rapper expansion of dino and biedronka the new head of the net poland in our opinion in our opinion the most interesting event on the agri food and commercial market in october,2
1958,yesterday s session on the domestic market bring a weakening of quotation in the segment of the large company the index be most burden with mining company pzu and dinopl in general the number of inheritance company after yesterday s session be in the advantage,1
1959,the dino share price follow the development of the company by set new peak say bankier pl november this year the company will show result for the third quarter,3
1960,every year the network open several hundred new store the share price follow the development of the company by set new peak dino polska will soon show result for the third quarter,3
1961,dino polska invest in renewable energy source the network support eu fund the total value of the project be estimate at pln million,3
1962,the marshall wace fund increase the short net position on dino polska share to percent write pul biznesu,1
1964,marshall wace llp have a net position of percent dino share knf say in the short sale register,1
1965,after recent increase in energy and fuel price price in store be also rise in addition the minimum salary have be increase for six year which mean subsequent cost for retail chain how will the increase affect the dino network,1
1968,biedronka and dino be develop store accord to various strategy thank to this they do not enter the parade among other thing it can be explain by the fact that both network be increase the number of store despite the grow competition of the polish market,2
1969,biedronka open store in half a year and dino three time more portuguese network with facility of approx thousand branch generate revenue at the level of eur billion i e approx billion and dino with branch pln billion the effect of scale or polish ambition,3
1971,dino polska as part of the company s bond program of september will broadcast bond with a total nominal value of pln million the company intend to allocate obtain fund to finance the further development of the company,2
1972,the management board of dino polska decide that as part of the issue program the company will broadcast bond with a total nominal value of pln million the company say in a statement,2
1973,dino which have almost half of the few point than biedronka can catch up with a competitor in the future he should focus on open his facility in municipality which biedronka have not yet reach he can also fight directly set up more new store where the network belong to jeronimo martin be already present,3
1974,dino polska be approach branch in poland the network open new store almost every day since july it increase the number of supermarket by item,3
1975,dino polska announce that it open from january to the end of september new store compare to a year early,3
1976,dnp dinopl open from january to the end of september new store compare to a year early at the end of september the network have store compare to supermarket of the year,3
1977,yesterday s session in the main market bring up growth relief follow by the national dance floor a slight increase in the wig index be mainly provide by the banking and fuel sector and dinopl share alone on the fw daily chart quotation reflect point from the support zone a specific line of early peak,3
1978,after tuesday s discount yesterday s session bring a relief wig gain wig and mwig and swig among the blue chip asseco and dino lead the growth and only four company lose include the most tauron and kghm bogdanka and bumech stand out on the wide market at high turnover,3
